,ano_censo,regiao,unidade_federativa,mesoregiao,microregiao,municipio,cod_municipio,num_escolas,num_escolas_em_atividade,num_estudantes_ensino_infantil,num_estudantes_ensino_fund_anos_iniciais,num_estudantes_ensino_fund_anos_finais,num_estudantes_fund_1_ano,num_estudantes_fund_2_ano,num_estudantes_fund_3_ano,num_estudantes_fund_4_ano,num_estudantes_fund_5_ano,num_estudantes_fund_6_ano,num_estudantes_fund_7_ano,num_estudantes_fund_8_ano,num_estudantes_fund_9_ano,num_salas_existentes,num_salas_utilizadas,num_equip_tv,num_equip_videocassete,num_equip_dvd,num_equip_parabolica,num_equip_copiadora,num_equip_retroprojetor,num_equip_impressora,num_equip_impressora_mult,num_equip_som,num_equip_multimidia,num_equip_fax,num_equip_foto,num_computador,num_comp_administrativo,num_comp_aluno,num_funcionarios,num_escolas_rurais,num_escolas_urbanas,num_professores,num_matriculas,num_estudantes,num_turmas,ideb
0,2015,Sudeste,São Paulo,Assis,Assis,Nantes,3532157,3,3,167,168,170,37,32,34,19,46,31,45,58,36,19,19,3,1,2,1,2,1,3,2,2,1,0,2,3,3,1,89,0,0,44,782,676,45,6.1
1,2015,Sudeste,São Paulo,Assis,Assis,Nantes,3532157,3,3,167,168,170,37,32,34,19,46,31,45,58,36,19,19,3,1,2,1,2,1,3,2,2,1,0,2,3,3,1,89,0,0,44,782,676,45,6.1
2,2015,Sudeste,São Paulo,Assis,Assis,Tarumã,3553955,10,10,971,1053,852,210,209,218,225,191,211,216,208,217,117,117,9,0,9,3,6,2,9,8,9,8,2,8,10,10,8,458,0,0,257,3880,3473,181,6.1
3,2015,Sudeste,São Paulo,Assis,Assis,Tarumã,3553955,10,10,971,1053,852,210,209,218,225,191,211,216,208,217,117,117,9,0,9,3,6,2,9,8,9,8,2,8,10,10,8,458,0,0,257,3880,3473,181,6.1
6,2015,Sudeste,São Paulo,Assis,Assis,Campos Novos Paulista,3509809,3,3,202,334,312,62,59,90,63,60,96,64,78,74,26,26,3,0,3,0,3,2,3,2,2,2,2,2,3,3,3,133,0,0,77,1131,1015,61,5.3
7,2015,Sudeste,São Paulo,Assis,Assis,Campos Novos Paulista,3509809,3,3,202,334,312,62,59,90,63,60,96,64,78,74,26,26,3,0,3,0,3,2,3,2,2,2,2,2,3,3,3,133,0,0,77,1131,1015,61,5.3
8,2015,Sudeste,São Paulo,Assis,Assis,Assis,3504008,75,70,5052,6126,5002,1256,1306,1237,1194,1133,1430,1053,1198,1321,842,897,67,28,59,14,22,42,67,49,67,56,29,62,68,66,53,3288,0,0,1417,25237,22096,1134,6.5
9,2015,Sudeste,São Paulo,Assis,Assis,Assis,3504008,75,70,5052,6126,5002,1256,1306,1237,1194,1133,1430,1053,1198,1321,842,897,67,28,59,14,22,42,67,49,67,56,29,62,68,66,53,3288,0,0,1417,25237,22096,1134,6.5
10,2015,Sudeste,São Paulo,Assis,Assis,Palmital,3535309,24,20,1067,1259,1126,244,262,309,249,195,265,306,267,288,174,174,17,8,17,8,11,6,16,12,15,12,6,16,20,20,14,688,0,0,324,5645,4690,250,6.4
11,2015,Sudeste,São Paulo,Assis,Assis,Palmital,3535309,24,20,1067,1259,1126,244,262,309,249,195,265,306,267,288,174,174,17,8,17,8,11,6,16,12,15,12,6,16,20,20,14,688,0,0,324,5645,4690,250,6.4
14,2015,Sudeste,São Paulo,Assis,Assis,Ibirarema,3519501,6,5,319,387,387,92,72,76,81,66,101,101,63,122,34,34,5,2,5,3,2,2,5,2,5,2,0,2,5,5,2,119,0,0,65,1463,1344,71,6.3
15,2015,Sudeste,São Paulo,Assis,Assis,Ibirarema,3519501,6,5,319,387,387,92,72,76,81,66,101,101,63,122,34,34,5,2,5,3,2,2,5,2,5,2,0,2,5,5,2,119,0,0,65,1463,1344,71,6.3
16,2015,Sudeste,São Paulo,Assis,Assis,Iepê,3519907,3,3,354,446,428,79,91,98,110,68,91,115,111,111,42,42,3,0,2,0,0,3,3,2,1,2,0,3,3,3,3,219,0,0,94,2194,1593,100,6.2
17,2015,Sudeste,São Paulo,Assis,Assis,Iepê,3519907,3,3,354,446,428,79,91,98,110,68,91,115,111,111,42,42,3,0,2,0,0,3,3,2,1,2,0,3,3,3,3,219,0,0,94,2194,1593,100,6.2
18,2015,Sudeste,São Paulo,Assis,Assis,Platina,3539707,5,4,220,262,210,57,52,52,51,50,50,61,48,51,30,30,4,0,4,3,3,2,4,4,3,2,1,3,4,4,3,136,0,0,78,1066,843,59,6.3
19,2015,Sudeste,São Paulo,Assis,Assis,Platina,3539707,5,4,220,262,210,57,52,52,51,50,50,61,48,51,30,30,4,0,4,3,3,2,4,4,3,2,1,3,4,4,3,136,0,0,78,1066,843,59,6.3
20,2015,Sudeste,São Paulo,Assis,Assis,Florínia,3516101,4,4,147,179,175,42,37,36,28,36,48,36,49,42,26,26,4,1,4,2,2,1,3,3,4,2,0,3,4,4,3,108,0,0,62,1060,617,63,6.7
21,2015,Sudeste,São Paulo,Assis,Assis,Florínia,3516101,4,4,147,179,175,42,37,36,28,36,48,36,49,42,26,26,4,1,4,2,2,1,3,3,4,2,0,3,4,4,3,108,0,0,62,1060,617,63,6.7
22,2015,Sudeste,São Paulo,Assis,Assis,Cândido Mota,3510005,21,20,1543,1983,1440,390,431,392,385,385,379,329,379,353,219,229,17,4,16,9,12,12,17,13,17,12,5,16,19,19,17,884,0,0,488,8138,6591,394,6.7
23,2015,Sudeste,São Paulo,Assis,Assis,Cândido Mota,3510005,21,20,1543,1983,1440,390,431,392,385,385,379,329,379,353,219,229,17,4,16,9,12,12,17,13,17,12,5,16,19,19,17,884,0,0,488,8138,6591,394,6.4
24,2015,Sudeste,São Paulo,Assis,Assis,Cândido Mota,3510005,21,20,1543,1983,1440,390,431,392,385,385,379,329,379,353,219,229,17,4,16,9,12,12,17,13,17,12,5,16,19,19,17,884,0,0,488,8138,6591,394,6.6
25,2015,Sudeste,São Paulo,Assis,Assis,Lutécia,3527900,2,2,152,189,190,46,38,43,25,37,53,33,63,41,21,21,1,1,1,1,0,0,1,1,1,1,0,1,2,2,2,106,0,0,52,980,676,48,5.5
26,2015,Sudeste,São Paulo,Assis,Assis,Lutécia,3527900,2,2,152,189,190,46,38,43,25,37,53,33,63,41,21,21,1,1,1,1,0,0,1,1,1,1,0,1,2,2,2,106,0,0,52,980,676,48,5.5
27,2015,Sudeste,São Paulo,Assis,Assis,Maracaí,3528809,13,13,463,900,738,160,166,163,180,231,180,187,179,192,130,130,13,4,12,8,8,7,12,9,12,11,1,13,12,12,10,488,0,0,200,2964,2556,168,6.6
