,ano_censo,regiao,unidade_federativa,mesoregiao,microregiao,municipio,cod_municipio,num_escolas,num_escolas_em_atividade,num_estudantes_ensino_medio_propedeutico,num_estudantes_medio_1_serie,num_estudantes_medio_2_serie,num_estudantes_medio_3_serie,num_estudantes_medio_4_serie,num_estudantes_medio_nao_seriada,num_salas_existentes,num_salas_utilizadas,num_equip_tv,num_equip_videocassete,num_equip_dvd,num_equip_parabolica,num_equip_copiadora,num_equip_retroprojetor,num_equip_impressora,num_equip_impressora_mult,num_equip_som,num_equip_multimidia,num_equip_fax,num_equip_foto,num_computador,num_comp_administrativo,num_comp_aluno,num_funcionarios,num_escolas_rurais,num_escolas_urbanas,num_professores,num_matriculas,num_estudantes,num_turmas,ideb
0,2017,Sudeste,São Paulo,Assis,Assis,Iepê,3519907,3,3,310,106,96,108,0,0,40,40,13,0,11,0,0,2,10,4,5,4,0,3,79,17,62,193,0,0,96,2176,1562,98,4.8
1,2017,Sudeste,São Paulo,Assis,Assis,Iepê,3519907,3,3,310,106,96,108,0,0,40,40,13,0,11,0,0,2,10,4,5,4,0,3,79,17,62,193,0,0,96,2176,1562,98,4.8
2,2017,Sudeste,São Paulo,Assis,Assis,Paraguaçu Paulista,3535507,41,35,1580,581,522,365,0,0,348,348,134,7,84,7,15,21,92,66,147,64,5,51,511,141,336,1350,0,0,684,9777,9354,449,5.6
3,2017,Sudeste,São Paulo,Assis,Assis,Paraguaçu Paulista,3535507,41,35,1580,581,522,365,0,0,348,348,134,7,84,7,15,21,92,66,147,64,5,51,511,141,336,1350,0,0,684,9777,9354,449,5.3
4,2017,Sudeste,São Paulo,Assis,Assis,Paraguaçu Paulista,3535507,41,35,1580,581,522,365,0,0,348,348,134,7,84,7,15,21,92,66,147,64,5,51,511,141,336,1350,0,0,684,9777,9354,449,5.4
5,2017,Sudeste,São Paulo,Assis,Assis,Palmital,3535309,24,19,826,217,203,248,0,0,146,146,42,12,42,11,11,15,40,19,56,28,5,19,296,60,235,599,0,0,340,5435,4481,241,4.5
6,2017,Sudeste,São Paulo,Assis,Assis,Palmital,3535309,24,19,826,217,203,248,0,0,146,146,42,12,42,11,11,15,40,19,56,28,5,19,296,60,235,599,0,0,340,5435,4481,241,4.5
7,2017,Sudeste,São Paulo,Assis,Assis,Lutécia,3527900,2,2,128,58,34,36,0,0,21,21,7,0,4,3,2,0,5,5,11,3,0,4,33,7,13,100,0,0,52,903,665,48,5.2
8,2017,Sudeste,São Paulo,Assis,Assis,Lutécia,3527900,2,2,128,58,34,36,0,0,21,21,7,0,4,3,2,0,5,5,11,3,0,4,33,7,13,100,0,0,52,903,665,48,5.2
9,2017,Sudeste,São Paulo,Assis,Assis,Borá,3507209,3,3,34,11,10,13,0,0,25,18,8,0,7,2,1,0,7,3,12,3,0,4,43,8,35,57,0,0,31,232,232,17,6.0
10,2017,Sudeste,São Paulo,Assis,Assis,Borá,3507209,3,3,34,11,10,13,0,0,25,18,8,0,7,2,1,0,7,3,12,3,0,4,43,8,35,57,0,0,31,232,232,17,6.0
11,2017,Sudeste,São Paulo,Assis,Assis,Assis,3504008,77,69,3435,1225,1148,1027,0,0,811,799,198,23,144,16,45,80,198,114,348,241,22,113,810,231,583,2940,0,0,1490,24550,21596,1080,4.9
13,2017,Sudeste,São Paulo,Assis,Assis,Assis,3504008,77,69,3435,1225,1148,1027,0,0,811,799,198,23,144,16,45,80,198,114,348,241,22,113,810,231,583,2940,0,0,1490,24550,21596,1080,4.9
14,2017,Sudeste,São Paulo,Assis,Assis,Tarumã,3553955,10,10,507,186,189,132,0,0,111,111,30,0,29,6,8,4,16,15,48,15,1,14,195,46,155,462,0,0,262,4073,3613,168,4.9
15,2017,Sudeste,São Paulo,Assis,Assis,Tarumã,3553955,10,10,507,186,189,132,0,0,111,111,30,0,29,6,8,4,16,15,48,15,1,14,195,46,155,462,0,0,262,4073,3613,168,4.9
16,2017,Sudeste,São Paulo,Assis,Assis,Ibirarema,3519501,6,5,204,77,71,56,0,0,54,54,18,3,14,3,4,3,9,14,18,5,1,5,24,8,16,159,0,0,62,1401,1298,68,4.7
17,2017,Sudeste,São Paulo,Assis,Assis,Ibirarema,3519501,6,5,204,77,71,56,0,0,54,54,18,3,14,3,4,3,9,14,18,5,1,5,24,8,16,159,0,0,62,1401,1298,68,4.7
18,2017,Sudeste,São Paulo,Assis,Assis,Cruzália,3513306,5,3,73,25,26,22,0,0,19,19,11,1,6,1,2,1,6,1,11,3,1,4,22,11,11,80,0,0,43,462,392,26,5.6
19,2017,Sudeste,São Paulo,Assis,Assis,Cruzália,3513306,5,3,73,25,26,22,0,0,19,19,11,1,6,1,2,1,6,1,11,3,1,4,22,11,11,80,0,0,43,462,392,26,5.6
